letter,weight,rel_weight,x_avg,y_avg,rel_x_avg,rel_y_avg,inertia_x,inertia_y,rel_inertia_x,rel_inertia_y
𐎀,724,0.3818565400843882,31.617403314917127,10.526243093922652,0.3925308117297068,0.41418448234446315,467.31212607978995,4418.760357208265,0.06855099399732872,0.6481972065730183
𐎁,1653,0.3219084712755599,30.43859649122807,32.61584996975196,0.37741790373369316,0.4939976557773744,422.7713142505387,1969.9527739075668,0.04039473669506389,0.1882240372546882
𐎂,726,0.38823529411764707,10.665289256198347,29.223140495867767,0.46025186934277845,0.3359897678079496,58.75665938118981,85.06632060651592,0.007621826356361372,0.011034676430991817
𐎃,894,0.47807486631016044,10.38255033557047,37.63422818791946,0.4467881112176414,0.43612176414189835,2080.951713886762,310.9660037836133,0.2699379574376394,0.04033804693003156
𐎄,2446,0.43139329805996474,41.99141455437449,31.352820932134097,0.46057769162218526,0.48956162793764674,121.18895351363788,3323.197254482597,0.010041341744439297,0.2753498429432925
𐎅,2092,0.3325914149443561,29.75095602294455,37.37189292543021,0.3422732859874351,0.4982451085675371,1313.9931892505,2174.1803693575453,0.10345588451700655,0.171181825789902
𐎆,1445,0.33449074074074076,36.521799307958474,23.629065743944636,0.3991213405388593,0.4814694839137157,72.62106344512154,4273.359045509513,0.006980109904375388,0.4107419305564699
𐎇,877,0.46898395721925135,10.228050171037628,33.683010262257696,0.4394309605256013,0.38908345550306783,431.47389969692983,187.22476983704942,0.05597015173134386,0.024286518334031577
𐎈,2413,0.2792824074074074,46.78450062163282,42.23249067550767,0.5144325912543014,0.43402621763692284,1384.9933939812477,2187.199928416477,0.07998344848586554,0.12631092217697373
𐎉,2143,0.2768733850129199,47.17452169855343,37.67148856742884,0.5188148505455441,0.4314292772638687,1356.1158521303123,2634.6160858835883,0.08751392953861076,0.1700191072459724
𐎊,1779,0.4360294117647059,23.365373805508714,37.700393479482855,0.4758590171384833,0.4369094461843197,1065.018826854177,68.8834683954107,0.1117660643146371,0.007228824472180785
𐎋,1456,0.337037037037037,35.36813186813187,23.58653846153846,0.3861587850351895,0.48056464811783955,70.02563096244415,4278.920950443789,0.006730645036759338,0.41127652349517385
𐎌,2095,0.26756066411238827,45.90119331742243,35.00525059665871,0.5045077900833981,0.3954098906588222,894.0813618058679,2915.4329631296246,0.05706052471796974,0.1860637541087258
𐎍,2185,0.34737678855325915,36.833409610983985,29.2883295194508,0.4908686248079998,0.33676582761250956,1078.0327866826556,1824.2867952390181,0.08487778810193336,0.14363331983615607
𐎎,1341,0.23546971027216856,38.47651006711409,23.27143922445936,0.5678259101077893,0.2651361812435638,1404.4888068105038,1741.2727843979892,0.11989831029626974,0.14864886327454235
𐎏,1607,0.25654533844189015,35.10329807093964,39.415059116365896,0.48032814184422024,0.44668673391123137,488.5557856128039,935.4386088553929,0.038309086929569816,0.07335047509255806
𐎐,1000,0.4830917874396135,41.765,10.853,0.45803370786516856,0.44786363636363635,827.4252250000001,6106.953609000001,0.0958888892108008,0.7077243723490556
𐎑,1617,0.3822695035460993,37.4025974025974,24.022881880024737,0.409017948343791,0.5004974321744509,2.5516950581885705,4222.025879177218,0.0002475211037140916,0.40954756806452786
𐎒,1162,0.3106951871657754,21.142857142857142,28.542168674698797,0.4684385382059801,0.3278829604130809,405.734693877551,181.11322398025834,0.04428934547293429,0.01977002772407579
𐎓,881,0.23549852980486502,20.99545970488082,42.90805902383655,0.47608237392573377,0.4873030119050762,4096.581178389535,0.8245711907709885,0.43497358020700094,8.755268536536298e-05
𐎔,1392,0.34843554443053815,29.791666666666668,23.864942528735632,0.3427579365079365,0.497063968015992,84.79340277777776,3616.2251370722684,0.008988064742185473,0.3833183312563354
𐎕,1459,0.3503001200480192,23.410555174777244,29.155586017820426,0.46688656614119256,0.33518554783119553,502.2329832417351,318.4231103674059,0.05217462946620975,0.03307948372817431
𐎖,1468,0.1896640826873385,49.6158038147139,41.828337874659404,0.5462449866821787,0.48033338676069887,1182.2729473082431,2225.1657076672923,0.07629536314585977,0.14359613498111076
𐎗,1786,0.4134259259259259,38.00447928331467,23.583986562150056,0.41578066610465925,0.4805103523861714,64.07168859701378,4279.254814100964,0.0061583706840651455,0.41130861342762054
𐎘,1250,0.32679738562091504,24.0064,35.196,0.5228727272727273,0.40709523809523807,2499.36004096,60.90241600000003,0.2702010855091892,0.006584044972972976
𐎙,1348,0.2883422459893048,35.490356083086056,22.752225519287833,0.4105994771795959,0.40281899109792285,305.9125559131454,3751.2898788401767,0.029845127406160528,0.3659795003746514
𐎚,700,0.37433155080213903,29.764285714285716,11.402857142857142,0.3424319727891157,0.4953741496598639,248.5127040816327,5270.345151020408,0.032236697896177544,0.6836613245583614
𐎛,2369,0.2787058823529412,28.30012663571127,42.98016040523428,0.3250015075679913,0.42404202429529575,1421.2804516834071,1682.6272403803096,0.0825126532181949,0.09768518086387865
𐎜,2156,0.40261437908496733,38.7226345083488,29.033858998144712,0.44907898224224757,0.45215901609910825,264.9526273487974,3021.2766566358373,0.023669164494264556,0.2699014343966265
𐎝,1739,0.3247432306255836,32.19206440483036,36.64577343300748,0.5030978129811349,0.4243544456310414,2581.446319442906,642.8368048103895,0.23060981949641823,0.057426907701482
